,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
102,116,40,104,42.97,69,37.1,52,10,3.47,68.42,1,1892,74,25.57,7.75,19.78,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
103,320,7,925,97.26,56,44.8,439,87,25.82,148.81,24,338,9,37.56,8.14,27.89,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,8042,8,6598,81.58,18,57.0,739,91,28.42,110.63,9,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
105,17,5,268,94.03,55,37.4,36,13,12.0,124.13,1,266,22,12.09,6.46,11.2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
106,281,87,44,36.36,75,33.0,33,15,11.0,64.71,0,1031,35,29.46,8.25,21.43,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
107,770,272,142,73.57,91,33.7,70,13,4.67,86.42,1,1304,59,22.1,6.58,20.15,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
108,1586,20,4483,79.41,137,44.6,131,36,18.71,98.5,3,276,8,34.5,7.67,27.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
109,1462,24,5088,92.44,133,44.6,974,117,36.07,129.87,41,674,20,33.7,7.7,26.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1546,1,3393,67.58,2,42.0,31,15,10.33,119.23,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
111,2742,2,3185,81.77,0,0.0,895,81,27.97,130.28,45,24,0,0.0,12.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
112,15470,45,18426,86.23,154,52.2,2047,100,37.91,119.22,24,58,0,0.0,9.67,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
113,0,0,165,75.68,1,60.0,969,75,31.26,113.33,22,45,1,45.0,11.25,24.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
114,0,0,49,87.5,0,0.0,836,42,25.33,119.6,32,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
115,0,0,1,50.0,3,55.0,3,3,3.0,0.75,0,295,6,49.17,8.55,34.83,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
116,541,157,368,69.04,154,32.2,39,24,13.0,205.26,5,184,12,15.33,8.17,11.2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
117,0,0,786,91.92,0,0.0,1538,69,26.98,126.17,59,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
118,3089,355,2025,72.52,400,39.4,81,20,10.13,110.96,3,355,18,19.72,7.55,15.67,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
119,0,0,39,95.12,17,41.4,137,35,15.22,118.1,8,427,18,23.72,6.83,20.94,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,0,0,218,60.05,0,0.0,914,71,22.29,118.24,37,321,6,53.5,9.44,34.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
121,4486,359,2105,81.93,282,45.7,121,29,15.13,107.08,2,878,28,31.36,6.81,27.75,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
122,11,1,43,43.87,28,35.3,217,25,9.43,104.83,5,1664,61,27.28,8.24,19.87,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
123,3154,708,1018,72.04,293,36.3,198,34,9.9,92.52,6,1447,57,25.39,7.27,20.95,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
124,483,2,876,85.79,0,0.0,1025,109,27.7,135.76,44,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,146,5,2037,80.48,12,27.5,745,78,31.04,132.09,29,70,0,0.0,14.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
126,0,0,0,0.0,0,0.0,49,16,9.8,125.64,2,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
127,6398,7,6814,75.78,3,86.6,3,3,3.0,42.85,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
128,1775,9,8051,87.58,109,44.3,1237,66,26.32,131.88,67,569,23,24.74,7.02,21.13,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
129,1114,288,790,73.55,278,35.4,99,23,9.9,91.67,1,1783,65,27.43,7.75,21.26,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
130,288,64,343,95.81,108,39.4,11,10,11.0,122.22,0,99,2,49.5,9.0,33.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
